Id,Building_Class,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Lane_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,House_Condition,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Grade_Living_Area,Underground_Full_Bathroom,Underground_Half_Bathroom,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Area,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Pool_Quality,Fence_Quality,Miscellaneous_Feature,Miscellaneous_Value,Month_Sold,Year_Sold,Sale_Type,Sale_Condition
1473,160,RMD,21,6518.142287,Paved,NA,Reg,Lvl,AllPub,I,GS,BrDale,NoRMD,NoRMD,Twnhs,2Story,5,5,1971,1971,Gable,SS,HdBoard,HdBoard,BrkFace,492,TA,TA,CB,TA,TA,No,Rec,300,Unf,0,225,525,GasA,TA,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,TA,6,TF,0,NA,Detchd,1997,Unf,1,320,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1474,160,RLD,24,1368.598395,Paved,NA,Reg,Lvl,AllPub,FR2P,GS,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,SS,Plywood,Brk Cmn,None,0,TA,TA,CB,TA,TA,No,ALQ,514,Unf,0,341,855,GasA,TA,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,Gd,6,TF,1,TA,Attchd,1975,Unf,2,440,TA,TA,Y,173,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1475,120,RLD,24,20099.08844,Paved,NA,Reg,Lvl,AllPub,FR2P,GS,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,SS,Plywood,Brk Cmn,None,0,TA,TA,CB,Gd,TA,No,Unf,0,Unf,0,836,836,GasA,Ex,Y,SBrkr,836,0,0,836,0,0,1,0,2,1,TA,4,TF,0,NA,Attchd,1975,Unf,1,308,TA,TA,Y,0,30,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1476,60,RLD,102,1416.313035,Paved,NA,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,SS,VinylSd,VinylSd,Stone,162,Ex,TA,PC,Ex,TA,No,Unf,0,Unf,0,1590,1590,GasA,Ex,Y,SBrkr,1627,707,0,2334,0,0,2,1,3,1,Ex,10,TF,1,Gd,Attchd,2009,Fin,3,751,TA,TA,Y,144,133,0,0,0,0,NA,NA,NA,0,1,2010,New,Partial
1477,20,RLD,94,12599.88468,Paved,NA,IR1,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,SS,VinylSd,VinylSd,Stone,256,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1544,1544,GasA,Ex,Y,SBrkr,1544,0,0,1544,0,0,2,0,3,1,Gd,7,TF,0,NA,Attchd,2009,RFn,3,868,TA,TA,Y,0,35,0,0,0,0,NA,NA,NA,0,6,2010,New,Partial
1478,20,RLD,90,11487.54769,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,SS,VinylSd,VinylSd,BrkFace,615,Gd,TA,PC,Ex,TA,No,GLQ,110,Unf,0,1588,1698,GasA,Ex,Y,SBrkr,1698,0,0,1698,0,0,2,0,3,1,Ex,7,TF,1,Gd,Attchd,2005,Fin,3,730,TA,TA,Y,192,74,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1479,20,RLD,79,11344.26931,Paved,NA,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,SS,CemntBd,CmentBd,BrkFace,240,Gd,TA,PC,Ex,TA,No,GLQ,28,Unf,0,1794,1822,GasA,Ex,Y,SBrkr,1822,0,0,1822,0,0,2,0,3,1,Ex,8,TF,1,Gd,Attchd,2005,RFn,3,678,TA,TA,Y,0,119,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal
1480,20,RLD,110,11656.47093,Paved,NA,Reg,HLS,AllPub,I,MS,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,SS,VinylSd,VinylSd,BrkFace,1095,Ex,TA,PC,Ex,TA,Gd,GLQ,1373,Unf,0,1473,2846,GasA,Ex,Y,SBrkr,2696,0,0,2696,1,0,2,1,3,1,Ex,10,TF,2,Gd,Attchd,2003,Fin,3,958,TA,TA,Y,220,150,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1481,60,RLD,105,6097.421889,Paved,NA,Reg,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,SS,VinylSd,VinylSd,BrkFace,232,Gd,TA,PC,Gd,TA,Gd,GLQ,578,Unf,0,1093,1671,GasA,Ex,Y,SBrkr,1687,563,0,2250,1,0,2,1,3,1,Gd,7,TF,1,Ex,Attchd,2002,Fin,3,756,TA,TA,Y,238,130,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1482,120,RLD,41,11374.0187,Paved,NA,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,SS,VinylSd,VinylSd,Stone,178,Gd,TA,PC,Gd,TA,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,TF,1,Gd,Attchd,2006,RFn,2,484,TA,TA,Y,120,49,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1483,20,RLD,100,17046.28178,Paved,NA,IR1,Lvl,AllPub,C,GS,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1324,1324,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,Gd,6,TF,0,NA,Attchd,2005,Fin,2,430,TA,TA,Y,36,23,0,0,0,0,NA,NA,NA,0,1,2010,WD,Normal
1484,120,RLD,43,2793.216769,Paved,NA,Reg,Lvl,AllPub,I,GS,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,SS,VinylSd,VinylSd,BrkFace,14,Gd,TA,PC,Gd,TA,Av,GLQ,16,Unf,0,1129,1145,GasA,Ex,Y,SBrkr,1145,0,0,1145,0,0,2,0,2,1,Gd,6,TF,0,NA,Attchd,2006,Fin,2,437,TA,TA,Y,100,116,0,0,0,0,NA,NA,NA,0,1,2010,WD,Normal
1485,80,RLD,67,10039.84035,Paved,NA,IR1,Lvl,AllPub,I,GS,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,GLQ,326,Unf,0,58,384,GasA,Ex,Y,SBrkr,744,630,0,1374,1,0,2,1,3,1,Gd,7,TF,1,Gd,BuiltIn,2004,Fin,2,400,TA,TA,Y,100,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1486,60,RLD,63,14472.24192,Paved,NA,IR1,Lvl,AllPub,I,GS,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,886,0,1733,0,0,2,1,3,1,Gd,7,TF,1,Gd,BuiltIn,2004,Fin,2,433,TA,TA,Y,144,48,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1487,60,RLD,60,2576.961923,Paved,NA,IR2,Lvl,AllPub,CulDSac,GS,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,SS,VinylSd,VinylSd,BrkFace,114,Gd,TA,PC,Ex,TA,No,Unf,0,Unf,0,1629,1629,GasA,Ex,Y,SBrkr,1645,830,0,2475,0,0,2,1,4,1,Gd,7,TF,1,TA,Attchd,1998,Fin,3,962,TA,TA,Y,23,172,0,0,256,0,NA,NA,NA,0,1,2010,WD,Normal
1488,20,RLD,73,13053.48799,Paved,NA,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,SS,VinylSd,VinylSd,BrkFace,226,Gd,TA,PC,Gd,TA,NA,Unf,0,Unf,0,1595,1595,GasA,Ex,Y,SBrkr,1595,0,0,1595,0,0,2,0,2,1,Gd,6,TF,1,Gd,Attchd,2005,RFn,3,880,TA,TA,Y,144,0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1489,20,FVR,92,8081.247821,Paved,NA,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1218,1218,GasA,Ex,Y,SBrkr,1218,0,0,1218,0,0,2,0,2,1,Gd,4,TF,0,NA,Attchd,2009,RFn,2,676,TA,TA,Y,0,136,0,0,0,0,NA,NA,NA,0,4,2010,New,Partial
1490,20,FVR,84,15013.35224,Paved,NA,Reg,Lvl,AllPub,C,GS,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Ex,TA,No,GLQ,1414,Unf,0,54,1468,GasA,Ex,Y,SBrkr,1468,0,0,1468,1,0,2,0,2,1,Gd,6,TF,1,Gd,Attchd,2005,Fin,2,528,TA,TA,Y,0,102,0,0,216,0,NA,NA,NA,0,5,2010,WD,Normal
1491,60,RLD,70,3579.780904,Paved,NA,Reg,Lvl,AllPub,I,GS,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,SS,VinylSd,VinylSd,BrkFace,122,Gd,TA,PC,Gd,TA,Av,Unf,0,Unf,0,831,831,GasA,Ex,Y,SBrkr,831,828,0,1659,0,0,2,1,3,1,Gd,8,TF,0,NA,Attchd,2004,RFn,2,484,TA,TA,Y,144,68,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1492,30,RHD,70,5269.230243,Paved,NA,Reg,Lvl,AllPub,C,GS,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,Fa,BT,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,N,FuseA,1012,0,0,1012,0,0,1,0,2,1,TA,5,TF,0,NA,Detchd,1920,Unf,1,429,TA,TA,Y,121,0,80,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1493,20,RLD,39,10696.59369,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,SS,Plywood,Plywood,BrkCmn,250,TA,Gd,CB,TA,TA,Gd,BLQ,126,GLQ,859,223,1208,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,TA,7,TF,2,Fa,Attchd,1974,Fin,2,461,TA,TA,Y,296,0,186,0,0,0,NA,GdPrv,NA,0,4,2010,WD,Abnorml
1494,60,RLD,85,13281.5017,Paved,NA,IR1,Lvl,AllPub,I,GS,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,SS,HdBoard,ImStucc,BrkFace,504,Gd,TA,PC,Gd,TA,No,LwQ,250,GLQ,981,0,1231,GasA,Ex,Y,SBrkr,1251,1098,0,2349,1,0,2,1,4,1,Gd,9,TF,1,TA,Attchd,1993,RFn,3,762,TA,TA,Y,32,130,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1495,60,RLD,88,11244.83235,Paved,NA,Reg,Lvl,AllPub,I,GS,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,SS,HdBoard,HdBoard,BrkFace,180,Gd,TA,PC,Gd,TA,No,GLQ,1129,Unf,0,261,1390,GasA,Ex,Y,SBrkr,1402,823,0,2225,1,0,2,1,4,1,Gd,7,TF,1,TA,Attchd,1992,RFn,3,713,TA,TA,Y,198,30,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1496,120,FVR,25,4865.563391,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,SS,MetalSd,MetalSd,None,0,Gd,TA,PC,Ex,TA,Av,GLQ,1298,Unf,0,190,1488,GasA,Ex,Y,SBrkr,1488,0,0,1488,1,0,2,0,2,1,Gd,6,TF,1,Gd,Attchd,2004,Fin,2,506,TA,TA,Y,168,50,0,0,0,0,NA,NA,NA,0,3,2010,WD,Normal
1497,160,FVR,39,7980.722834,Paved,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,0,1680,0,0,2,1,2,1,Gd,3,TF,0,NA,Attchd,2004,RFn,2,588,TA,TA,Y,0,111,0,0,0,0,NA,NA,NA,0,1,2010,WD,Normal
1498,160,FVR,30,9266.044744,Paved,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,SS,MetalSd,MetalSd,BrkFace,120,Gd,TA,PC,Gd,TA,Av,GLQ,280,Unf,0,320,600,GasA,Ex,Y,SBrkr,600,600,0,1200,0,0,2,1,2,1,Gd,4,TF,0,NA,Detchd,2004,RFn,2,480,TA,TA,Y,0,172,0,0,0,0,NA,NA,NA,0,4,2010,ConLD,Normal
1499,160,FVR,24,17542.22878,Paved,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,SS,MetalSd,MetalSd,None,0,Gd,TA,PC,Gd,TA,No,GLQ,368,ALQ,42,190,600,GasA,Ex,Y,SBrkr,600,600,0,1200,1,0,2,1,2,1,Gd,4,TF,0,NA,Detchd,2004,RFn,2,480,TA,TA,Y,0,172,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal
1500,160,FVR,24,8434.840819,Paved,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,SS,VinylSd,VinylSd,BrkFace,216,Gd,TA,PC,Gd,TA,No,GLQ,376,Unf,0,224,600,GasA,Ex,Y,SBrkr,600,636,0,1236,1,0,2,1,2,1,Gd,4,TF,0,NA,Detchd,2005,RFn,2,480,TA,TA,Y,0,166,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1501,160,FVR,NA,4707.477941,Paved,NA,Reg,Lvl,AllPub,C,GS,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,SS,MetalSd,MetalSd,BrkFace,1159,Gd,TA,PC,Gd,TA,No,GLQ,466,Unf,0,290,756,GasA,Ex,Y,SBrkr,756,756,0,1512,1,0,2,1,2,1,Gd,5,TF,0,NA,Detchd,2000,Unf,2,440,TA,TA,Y,0,32,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1502,160,FVR,NA,4746.594513,Paved,NA,IR1,Lvl,AllPub,FR2P,GS,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,GLQ,244,Unf,0,286,530,GasA,Ex,Y,SBrkr,530,550,0,1080,0,0,2,1,2,1,Gd,4,TF,0,NA,Attchd,2003,RFn,2,496,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1503,20,FVR,57,10889.5101,Paved,Paved,IR1,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,SS,CemntBd,CmentBd,None,0,Gd,TA,PC,Ex,Po,No,GLQ,1032,Unf,0,610,1642,GasA,Ex,Y,SBrkr,1418,0,0,1418,1,0,1,1,1,1,Gd,6,TF,1,Gd,Attchd,2010,RFn,3,852,TA,TA,Y,160,192,0,224,0,0,NA,NA,NA,0,4,2010,New,Partial
1504,60,FVR,68,13455.02177,Paved,NA,IR1,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,GLQ,484,Unf,0,491,975,GasA,Ex,Y,SBrkr,975,873,0,1848,1,0,2,1,3,1,Gd,7,TF,1,TA,Attchd,2000,RFn,2,592,TA,TA,Y,280,184,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1505,20,FVR,80,492.9561633,Paved,NA,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Gd,TA,No,GLQ,833,Unf,0,659,1492,GasA,Ex,Y,SBrkr,1492,0,0,1492,1,0,2,0,3,1,Gd,6,TF,1,Gd,Attchd,2002,RFn,2,596,TA,TA,Y,277,137,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1506,20,RLD,NA,10866.20411,Paved,NA,IR1,Lvl,AllPub,I,GS,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,SS,HdBoard,HdBoard,BrkFace,120,TA,TA,CB,TA,TA,No,GLQ,506,Unf,0,1323,1829,GasA,Gd,Y,SBrkr,1829,0,0,1829,1,0,2,0,4,1,TA,8,TF,0,NA,Attchd,1967,RFn,2,535,TA,TA,Y,0,76,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1507,60,RLD,80,10722.88523,Paved,NA,Reg,Lvl,AllPub,I,GS,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,PC,Gd,TA,Mn,GLQ,1137,Unf,0,143,1280,GasA,Ex,Y,SBrkr,1280,1215,0,2495,1,0,2,1,4,1,Gd,9,TF,1,TA,Attchd,1993,Unf,2,660,TA,TA,Y,224,32,0,0,0,0,NA,NA,NA,0,3,2010,WD,Normal
1508,50,RLD,NA,4867.462398,Paved,NA,IR1,Lvl,AllPub,I,GS,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,PC,Gd,TA,Mn,ALQ,687,LwQ,46,491,1224,GasA,TA,Y,SBrkr,1287,604,0,1891,0,1,3,0,3,1,TA,7,TF,1,TA,Attchd,1978,RFn,2,678,TA,TA,Y,0,69,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1509,60,RLD,80,4419.456191,Paved,NA,Reg,Lvl,AllPub,I,GS,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,No,ALQ,329,Unf,0,386,715,GasA,TA,Y,SBrkr,930,715,0,1645,0,0,1,2,4,1,TA,7,TF,0,NA,Attchd,1971,RFn,2,441,TA,TA,Y,0,78,0,0,0,0,NA,GdWo,NA,0,6,2010,WD,Normal
1510,20,RLD,80,15467.81436,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,SS,VinylSd,VinylSd,BrkFace,172,TA,TA,CB,TA,TA,No,Rec,698,Unf,0,534,1232,GasA,TA,Y,SBrkr,1232,0,0,1232,1,0,1,1,3,1,TA,6,TF,0,NA,Attchd,1966,RFn,2,490,TA,TA,Y,0,224,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
